artist,genre
Kodak Black Featuring Travis Scott & Offset,rap
fun. Featuring Janelle Monae,baroque pop
DJ Snake & AlunaGeorge,pop
Mindless Behavior Featuring Diggy,pop r&b
Fitz And The Tantrums,rock
Banda Carnaval,banda
Diddy - Dirty Money Featuring Skylar Grey,hip pop
Capital Cities,metropopolis
Zayn Featuring Sia,pop
Nicki Minaj Featuring Chris Brown,pop
Shontelle,barbadian pop
Charlie Worsham,modern country rock
Swae Lee Featuring Drake,melodic rap
Taetre,gothenburg metal
Diggy Featuring Jeremih,
The Carter Family,folk
Real Friends,emo
Logic Featuring Eminem,rap
Perturbator,cyberpunk
The Weeknd Featuring Daft Punk,canadian contemporary r&b
Black Elk,compositional ambient
JAY-Z,east coast hip hop
Kevin Morby,indie folk
Anamanaguchi,bitpop
Of The Trees,electronic trap
Kenny Wayne Shepherd,rock
Calvin Harris Featuring Frank Ocean & Migos,pop
Yella Beezy,rap
Zhou Long,chinese classical
Steve Holy,country
Chase Rice,country
Jackie Gleason,adult standards
Larry Sparks,bluegrass
"Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000",pop
Hammerhands,atmospheric sludge
Milow,belgian pop
Wham!,disco
Esperanza Spalding,jazz
Rick Ross Featuring Kanye West & Big Sean,rap
Lil Wayne Featuring Cory Gunz,rap
David Guetta Featuring Chris Brown & Lil Wayne,pop
Wynton Kelly,jazz
Lady Gaga,pop
Ghostface Killah,alternative hip hop
Alasdair Roberts,british folk
Asher Roth,rap
Abrasion,autonomous black metal
Meese,denver indie
Arcturus,avant-garde black metal
Christian McBride,jazz trio
Sia Featuring Sean Paul,australian dance
"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",pop
Agoraphobic Nosebleed,grindcore
Young Money,rap
Naughty Boy Featuring Sam Smith,tropical house
Jungle Rot,brutal death metal
Lazy Hammock,chill lounge
Tegan And Sara,canadian indie
Cage The Elephant,rock
Chris Duke and the Royals,australian ska
2 Chainz Featuring Kanye West,atl hip hop
Diddy - Dirty Money Featuring T.I.,hip pop
Alabama Shakes,rock
The Stills,canadian indie
Buffalo Springfield,rock
Mariah Carey,pop
Kevin Gates,rap
Fir Cone Children,german shoegaze
Max Styler,house
The Weeknd Featuring Kendrick Lamar,canadian contemporary r&b
Panic! At The Disco,modern rock
Attila,atlanta metal
Plies,rap
Harakiri for the Sky,austrian black metal
Fat Joe Featuring Chris Brown,bronx hip hop
Tuomas Rantanen,finnish techno
Charlie Puth,pop
Justin Bieber Featuring Usher,pop
A Boogie Wit da Hoodie Featuring Juice WRLD,rap
KCamp Featuring 2 Chainz,atl hip hop
Flo Rida,pop
Van Halen,rock
Mabel,pop
Taio Cruz Featuring Ke$ha,pop
Los Angeles Azules,gruperas inmortales
IXION,atmospheric doom
Lonnie Brooks,blues
TV Freaks,canadian hardcore
Minotauri,doom metal
Nana Grizol,anti-folk
Trey Songz Featuring Drake,pop
Becky G Featuring Bad Bunny,pop
Queen Naija,pop
Defunk,
Manuel Lauren,
Bayside Worship,ambient worship
Fedel,christian hip hop
NERO,drum and bass
Drake Featuring Birdman,canadian hip hop
Lack Of Afro,afrobeat
Ital Tek,classic dubstep
David Nail Featuring Sarah Buxton,country
Kid Cudi Featuring Kanye West,hip hop
Darius Rucker,country
Spite,deathcore
Nicki Minaj Featuring Ariana Grande,pop
Ne-Yo Featuring Juicy J,pop
Jupiter Grains,atmosphere
Tinie Tempah Featuring Eric Turner,dance pop
Ed Sheeran Featuring Camila Cabello & Cardi B,pop
Post Malone Featuring Ty Dolla $ign,rap
Clueless,future garage
Gibi ASMR,asmr
Justin Timberlake,pop
Tee Grizzley,detroit hip hop
"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",dance pop
Obituary,metal
Pitbull Featuring Akon,pop
Seth Gueko,french hip hop
The Swon Brothers,contemporary country
October Light,german ccm
Forward Strategy Group,minimal dub
The Damn Truth,canadian rock
Russell Haswell,british experimental
Piotr Miteska,background music
Sean Kingston Featuring Nicki Minaj,pop
Harry Styles,pop
Kap Kap,finnish indie
Tord Gustavsen Trio,jazz
Seaway,alternative emo
XXXTENTACION Featuring Kanye West & Travis Barker,emo rap
Kiiara,pop
Lee Brice,country
Stormwarrior,german metal
Cascada,bubblegum dance
Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,pop
John Mayer,neo mellow
Lil Mosey x Gunna,rap
Julia Michaels,pop
Gold Lounge,chill lounge
Don Omar & Lucenzo,latin
"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",rap
Armin van Buuren Featuring Trevor Guthrie,trance
Seether,alternative metal
VersaEmerge,candy pop
Howard Goodman,southern gospel
Blood Ages,french death metal
Bad Wolves,metal
Jaron And The Long Road To Love,country
Ycee,afro dancehall
Protohype,dubstep
Nicky Jam & Enrique Iglesias,latin
Deathchain,deathrash
Bayonne,austindie
Jesse McCartney Featuring T-Pain,pop
Peter Broderick,ambient
Alesso Featuring Tove Lo,pop
Hard-FI,rock
Britt Nicole,ccm
Joell Ortiz,alternative hip hop
Sunn 0))),avant-garde metal
Garry Sandhu,desi pop
Justin Bieber Featuring Ludacris,pop
Axis,blackened hardcore
Kenny Chesney Featuring P!nk,country
Rascal Flatts,country
Joey Trap,dark trap
Jessie J,pop
Shakira Featuring Dizzee Rascal,pop
Momentum,neo-crust
Hunter Hayes Featuring Jason Mraz,country
Zomboy,brostep
Trippie Redd Featuring Kodie Shane,rap
Young Thug,rap
The Neighbourhood,modern alternative rock
Badshah,desi hip hop
Katie Noel,country rap
Larz-Kristerz,classic swedish pop
Anthem Lights,ccm
Sage The Gemini Featuring Nick Jonas,dance pop
Taylor Swift Featuring Ed Sheeran & Future,pop
Morgan Wallen,contemporary country
Tove Lo,pop
Ondskapt,black metal
Rae Sremmurd,hip hop
Ballet L'école,ballet class
Timonkey,glitch hop
Olamide,afro dancehall
Sarah Slean,canadian indie
Lil Peep & XXXTENTACION,emo rap
Calvin Harris Featuring Kehlani & Lil Yachty,pop
Alice Merton,
Niall Horan,pop
Rita Ora,pop
Down To The Bone,acid jazz
Post Malone Featuring DaBaby,rap
Misery Index,brutal death metal
Fat Joe & Dre Featuring Eminem & Mary J. Blige,bronx hip hop
Birdman Featuring Lil Wayne & Drake,rap
Tommy James & The Shondells,rock
YBN Nahmir,rap
Panjabi MC,bhangra
"Dreamville Featuring J. Cole, Lute & DaBaby",hip hop
Ludacris Featuring Kelly Rowland,atl hip hop
Lizzo,pop
Eure Mütter,german rock
Harry Belafonte,adult standards
I LOVE MAKONNEN Featuring Drake,atl hip hop
Rixton,pop
Cardi B & Bruno Mars,pop
Malukah,video game music
Zendaya,pop
Kendrick Lamar,conscious hip hop
Trippie Redd Featuring Lil Baby & Lil Duke,rap
Nicky Jam X Ozuna,latin
La Roux,alternative dance
Drake Featuring 21 Savage,canadian hip hop
Rodney Atkins,country
Pegassi,future house
Deathening,gothenburg metal
Kenny Chesney & Tim McGraw,country
Kromestar,classic dubstep
Shiro Schwarz,funk mexicano
PØLI,spanish techno
Afrojack Featuring Chris Brown,big room
The Chainsmokers Featuring Emily Warren,pop
NLE Choppa,memphis hip hop
York,trance
Sass Dragons,chicago punk
Macklemore & Ryan Lewis Featuring Wanz,pop
Lil Wayne Featuring Rick Ross,rap
Les Baxter,adult standards
Astronautalis,abstract hip hop
Freedom Call,german metal
iLoveMemphis,chicago bop
Mika Singh,desi hip hop
Sugluk,canadian psychedelic
The Hush Sound,baroque pop
Abney Park,dark cabaret
Gotye Featuring Kimbra,australian pop
Quavo Featuring 21 Savage,atl hip hop
Flume Featuring Kai,australian dance
Future Featuring Drake,atl hip hop
Owl City & Carly Rae Jepsen,indietronica
Sick Puppies,alternative metal
Calvin Harris Featuring John Newman,pop
K-Drama,christian hip hop
Late,cinematic dubstep
Ariana Grande,pop
Ghost Town DJ's,atlanta bass
Kane Brown,black americana
Chris Young Featuring Vince Gill,country
Broken Social Scene,alternative dance
Fifth Harmony Featuring Kid Ink,pop
Neha Kakkar,desi pop
Edens Edge,contemporary country
Jay-Z + Swizz Beatz,east coast hip hop
Phillip Phillips,folk-pop
Kris Allen,acoustic pop
Snow Patrol Featuring Martha Wainwright,irish rock
Echosmith,dance pop
Cynic,death metal
Nicki Minaj Featuring Beyonce,pop
Nathan Salsburg,american primitive
Inigo Montoya,french indietronica
Tekno,afropop
Idina Menzel,hollywood
The New Rob Van Bavel Trio,dutch jazz
David Guetta Featuring Jennifer Hudson,pop
Fireboy DML,afro dancehall
Bhad Bhabie,pop
Avril Lavigne,pop
Opetaia Foa'i & Lin-Manuel Miranda,
Napalm Death,metal
Meek Mill Featuring Fabolous & Anuel AA,rap
Ornette Coleman,jazz
Pitbull & Ne-Yo,pop
Earl Sweatshirt,alternative hip hop
TM Juke,electronica
SEU Worship,anthem worship
Tyga Featuring Chris Richardson,dance pop
Mary Lou Lord,alternative pop
DJ T.,deep disco house
Endtime Odyssey,belgian metal
The FiNATTiCZ,
Jason Mraz,pop
Eazy-E,rap
Randy Houser,country
The 1975,rock
Lloyd Featuring Andre 3000 & Lil Wayne,pop
Rend Collective,worship
Saib,chillhop
RaeLynn,country
Greensky Bluegrass,bluegrass
Jessie J Featuring 2 Chainz,pop
CAPYAC,austindie
Street Dogs,punk
Eli Keszler,art pop
E.C. Illa,chicago rap
Calypso Rose,calypso
Michael Vincent Waller,minimalism
The Raveonettes,danish alternative rock
5 Seconds Of Summer,pop
Heavee,footwork
Andy Williams,adult standards
Crimson Dawn,epic doom
Tiesto & Dzeko Featuring Preme & Post Malone,pop
Somewhere Off Jazz Street,dark jazz
Marc Kiss,german dance
Trace Adkins,country
Montgomery Gentry,country
Rico Love,pop r&b
Jubin Nautiyal,desi pop
Arijit Singh,desi pop
Lil' Duval Featuring Snoop Dogg & Ball Greezy,florida rap
Foster The People,rock
Sparkly Night,future funk
Demi Lovato,pop
Dave Matthews Band,jam band
Fifth Harmony Featuring Fetty Wap,pop
Offset Featuring Cardi B,atl hip hop
T.I.,rap
Glee Cast Featuring Olivia Newton-John,adult standards
György Ligeti,classical
Quartz,vintage french electronic
Snoop Dogg Featuring The-Dream,rap
Britney Spears & Iggy Azalea,pop
ill.gates,glitch hop
Rhiannon Bannenberg,focus
"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",pop
The Living End,australian alternative rock
Skales,afro dancehall
Swutscher,german indie
Duke Dumont,house
Psyanide,greek metal
OneRepublic,pop
Ski Mask The Slump God,miami hip hop
Philip Glass,classical
David Arnold,soundtrack
2 Chainz & Wiz Khalifa,atl hip hop
Crossface,boston hardcore
Brad Paisley,country
Bryce Vine,pop
Mew,danish alternative rock
Giya Kancheli,avant-garde
Danielle Bradbery,country
Ramon Ayala Y Sus Bravos Del Norte,musica mexicana
Kenneth G,dutch house
Android Apartment,future funk
Future Breeze,acid trance
Vicci Martinez,deep talent show
Flo Rida Featuring Sia,pop
Víkingur Ólafsson,classical piano
Hord,cyber metal
Becky G,pop
one sonic society,worship
John Tavener,classical countertenor
Whitney Houston,pop
Waka Flocka Flame Featuring Drake,rap
Empire Of The Sun,alternative dance
Miranda Cosgrove,pop
Tall Black Guy,alternative r&b
Edo. G,alternative hip hop
Waldeck,downtempo
Hot Hot Heat,alternative dance
Brutality,florida death metal
"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",dance pop
Ramallah,hardcore
Tipling Rock,boston indie
Chris Brown Featuring Usher & Rick Ross,pop
Emperor,metal
Teni,afropop
Willie Thrasher,canadian indigenous
Ciara Featuring Ludacris,pop
Russell Dickerson,country
Patti Smith,rock
Bazzi,pop
Zedd & Alessia Cara,pop
Kelsea Ballerini,country
Splatinum,glitch hop
Tunes of Negation,uk experimental electronic
The Rival Mob,hardcore
Steve Jablonsky,epicore
Kim English,classic house
Rövballebandet,danspunk
Ant Saunders,chill r&b
K. Michelle,dance pop
Idealism,chillhop
Heavy Metal Perse,finnish heavy metal
Blindside,christian alternative rock
Piero Piccioni,classic soundtrack
Kenny Chesney,country
Meek Mill Featuring Drake,rap
Lance Allen,chill guitar
Hypocrisy,metal
Born Of Osiris,deathcore
Dr Zeus,bhangra
The Palace Guards,deep classic garage rock
ALEX,cyberpunk
Martin Dupont,gothic post-punk
G-Eazy Featuring Yo Gotti & YBN Nahmir,pop
Dawin,nyc pop
Garden of Grief,ambient black metal
French Montana Featuring The Weeknd & Max B,rap
Ray J Featuring Bobby Brackins,pop rap
Rannar Sillard,background music
Pusha T Featuring Kanye West,hip hop
tuXedoo,austrian metal
Joji,alternative r&b
Street to the Ocean,austrian metal
"Lunay, Daddy Yankee & Bad Bunny",latin
DJ Pippi,
LCD Soundsystem,rock
This Way To The Egress,dark cabaret
Marshmello & Bastille,pop
Noel Gallagher's High Flying Birds,rock
Juicy J,rap
Jason Derulo Featuring Snoop Dogg,pop
B.o.B Featuring Bruno Mars,pop
The Chainsmokers & Bebe Rexha,pop
Rich Homie Quan Featuring Problem,atl hip hop
Clay Walker,country
Clean Bandit Featuring Julia Michaels,dance pop
Rick Ross Featuring Jay-Z,rap
Rihanna Featuring Calvin Harris,pop
Missing Andy,essex indie
Murs,abstract hip hop
Kygo x Selena Gomez,pop
Uncle Tupelo,alternative country
Rae Sremmurd Featuring Nicki Minaj & Young Thug,hip hop
Weyes Blood,art pop
Frank Ocean,alternative r&b
Parov Stelar,balkan beats
Millind Gaba,desi pop
Britney Spears Featuring G-Eazy,pop
Andrew McMahon In The Wilderness,hopebeat
The Band Perry,country
Meghan Trainor Featuring John Legend,pop
The Electric Swing Circus,electro swing
French Montana Featuring Nicki Minaj,rap
Empire Cast Featuring Estelle & Jussie Smollett,dance pop
Metro Boomin Featuring Gunna,hip hop
D.R.A.M. Featuring Lil Yachty,alternative r&b
Chon,djent
Kindbergs,dansband
T.I. Featuring Keri Hilson,pop
Deorro,dance pop
Tristan Eckerson,neo-classical
Marcella and The Forget Me Nots,dark cabaret
Arbor Lights,british post-rock
The Unicorns,alternative rock
Ariana Grande & The Weeknd,pop
PSYQUI,kawaii edm
Dead Prez,alternative hip hop
Tonight Alive,candy pop
David Guetta Featuring Justin Bieber,pop
Flo Rida Featuring Jason Derulo,pop
Maroon 5 Featuring Cardi B,pop
Kaleo,icelandic indie
Exposé,freestyle
Easton Corbin,country
Chris Brown Featuring Ludacris,pop
Waka Flocka Flame Featuring Kebo Gotti,rap
Red Rocks Worship,anthem worship
Meek Mill Featuring Kirko Bangz,rap
Kid Ink Featuring Fetty Wap,dance pop
Big Sean,detroit hip hop
Jonas Blue Featuring Dakota,dance pop
Caroline Polachek,pop
Orden Ogan,folk metal
Keith Jarrett,jazz
Scibex,avant-garde black metal
Wale Featuring Jeremih,rap
Thirty Seconds To Mars,rock
Jacquees,pop
Arctic Monkeys,rock
Machine Gun Kelly x Camila Cabello,ohio hip hop
Midnight,metal
Kellie Pickler,country
Zedd Featuring Selena Gomez,pop
Ludacris Featuring Miguel,atl hip hop
Iggy Azalea Featuring Rita Ora,pop
Three Days Grace,alternative metal
Ski Mask The Slump God Featuring Juice WRLD,miami hip hop
Tory Lanez & Rich The Kid,rap
Autopsy,metal
The Who,rock
Roddy Ricch & Gunna,rap
Donatachi,australian electropop
Iyaz Featuring Travie McCoy,dance pop
Andrew Hill,jazz
Papik,italian lounge
Lloyd,pop
My Dying Bride,metal
B.o.B Featuring Trey Songz,pop
Devin Dawson,contemporary country
Yuval Ron,arab folk
Plain White T's,neo mellow
Pitbull Featuring John Ryan,pop
Chris Janson,country
Levellers,brighton indie
Scandroid,cyberpunk
"DJ Khaled Featuring JAY Z, Future & B",pop
Maluma,reggaeton
Rae Sremmurd Featuring Gucci Mane,hip hop
Big Time Rush,pop
Xiaoyong Chen,chinese classical
2 Chainz Featuring Kendrick Lamar,atl hip hop
Walker Hayes,country
XXXTENTACION,emo rap
Epicycle,chicago punk
Józef Gatysik,focus
"Labrinth, Sia & Diplo Present... LSD",australian dance
TK Kravitz Featuring Jacqueez,pop r&b
Tyga,dance pop
Alicia Keys Featuring Nicki Minaj,pop
Project 86,christian alternative rock
88 Fingers Louie,punk
Rae Sremmurd & Juicy J,hip hop
Justin Moore,country
Eluvium,ambient
Rick Ross Featuring Chris Brown,pop
Miguel Featuring Travis Scott,pop
Freddy Todd,glitch hop
Ben Rector,acoustic pop
Josh Thompson,country
Phil Woods,jazz
Milky Chance,german pop
gnash Featuring Olivia O'Brien,pop
Bryson Tiller,pop
General Larry Platt,
Trevor Jackson,uk experimental electronic
Ariana Grande & Nathan Sykes,pop
DJ Khaled Featuring SZA,pop
Kacey Musgraves,contemporary country
Kent Jones,miami hip hop
Lord Of Bass,greek house
Ansome,minimal dub
Yo Gotti Featuring E-40,rap
eli filosov [ p h i l o ],lo-fi beats
Powerwolf,metal
The Monotone Droner,asmr
Chase Bryant,contemporary country
Leon Vynehall,ambient house
Wun Two,chillhop
Akon,dance pop
リアムMAZE1981,
Drake Featuring 2 Chainz & Big Sean,canadian hip hop
Joyner Lucas,boston hip hop
Pitbull Featuring Chris Brown,pop
Drake Featuring 2 Chainz & Young Thug,canadian hip hop
Blac Youngsta,memphis hip hop
Katy Perry Featuring Juicy J,pop
Capstan,alternative emo
T-Pain Featuring Wiz Khalifa & Lily Allen,pop
Daft Punk Featuring Pharrell Williams,electro
Iggy Azalea,pop
Arvo Pärt,classical
Eïs,blackgaze
Love & Light,glitch hop
Disturbed,alternative metal
Wiz Khalifa Featuring The Weeknd,rap
The Avalanches,alternative dance
Sophia Grace,social media pop
Selena Gomez X Marshmello,pop
Lee Morgan,jazz
BTS,k-pop
TeeFLii Featuring 2 Chainz,pop r&b
Eurielle,
Pandrezz,chillhop
T-Pain Featuring Chris Brown,pop
Lil Mosey,rap
Tim O'Neill,
Kendrick Lamar & SZA,conscious hip hop
Darrell Mansfield,christian metal
Felix Da Housecat,acid house
David Guetta Featuring Kid Cudi,pop
Kevin Gates Featuring August Alsina,rap
Gippy Grewal,bhangra
J Balvin & Bad Bunny,reggaeton
New Boyz Featuring Ray J,dance pop
Future,atl hip hop
Makoto,drum and bass
Black Asteroid,dark techno
Jennifer Lopez Featuring Iggy Azalea Or Pitbull,pop
Ariana Grande Featuring Zedd,pop
Birdman Featuring Lil Wayne,rap
Rowland S. Howard,experimental
Atif Aslam,desi pop
Lord Of The Lost,dark rock
Oliver Heldens,house
Mosh36,deep german hip hop
Mann,
LZ7,christian dance
Playboi Carti,atl hip hop
Insanity Alert,austrian metal
Nicki Minaj Featuring Drake & Lil Wayne,pop
Maxwell,contemporary r&b
Dusk,funeral doom
Meek Mill Featuring Rick Ross & JAY-Z,rap
DJ Khaled Featuring Nipsey Hussle & John Legend,pop
Trippie Redd Featuring Juice WRLD & YNW Melly,rap
Future Featuring Rihanna,atl hip hop
Mark Farner,deep christian rock
Uncle Kracker,country
Dayglow,austindie
Big Sean Featuring Chris Brown,detroit hip hop
Chase & Status,dancefloor dnb
Carrie Underwood,country
Taio Cruz Featuring Ludacris,pop
Ludacris Featuring Nicki Minaj,atl hip hop
Nico & Vinz,pop rap
Carpathian Forest,metal
Behexen,atmospheric black metal
Frank White,german alternative rap
Brian Tyler,soundtrack
Pinkfong,cartoon
24kGoldn,cali rap
6ix9ine Featuring Lil Baby,rap
Helene Fischer,schlager
Glitchy & Scratchy,glitch
Rick Ross Featuring Nicki Minaj,rap
Leon Bridges,modern blues
DJ Sanj,bhangra
Lil Wayne,rap
Jay Z Featuring Justin Timberlake,east coast hip hop
The Hold Steady,alternative country
Gehennah,black thrash
Khiza,bhangra
Rage,metal
Chief Keef,chicago bop
The House That Gloria Vanderbilt,chicago punk
Mark Farina,chicago house
Meniscus,post-rock
Austin Mahone,pop
Arkham Witch,lovecraftian metal
Post Malone Featuring Young Thug,rap
Fifth Harmony,pop
Cobra Starship,dance pop
Yusuf / Cat Stevens,rock
Rivstart,danspunk
Alex Clare,modern alternative rock
A$AP Rocky Featuring Skepta,east coast hip hop
Yolta,background music
B.o.B,pop
Desiigner,rap
Big Sean & Metro Boomin Featuring 21 Savage,detroit hip hop
"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",pop
Khalid & Normani,pop
Power From Hell,black speed metal
Guy Clark,alternative country
WILLOW,pop
Blake Shelton,country
Goat the Head,grisly death metal
The PropheC,desi hip hop
Young Thug Featuring Gunna & Lil Baby,rap
Gucci Mane,rap
Ellie Goulding,pop
Toxik,metal
The Profane,
Mass Hysteria,french metal
Ana Olgica,background music
Cerebral Fix,birmingham metal
Devourment,brutal death metal
Big Sean Featuring Lil Wayne & Jhene Aiko,detroit hip hop
C-Murder,crunk
Mělník Philharmonic Orchestra,calming instrumental
Prince Royce Featuring Snoop Dogg,latin
Murcof,ambient
Kirlian Camera,dark wave
Edguy,metal
Bobby Konders,acid house
Sia,australian dance
Eminem Featuring Ed Sheeran,detroit hip hop
Nicky Jam x J Balvin,latin
Mauro Picotto,trance
Rick Ross Featuring Drake & Chrisette Michele,rap
DJ ESCO Featuring Future & Lil Uzi Vert,trap
Bazzi Featuring Camila Cabello,pop
The Chainsmokers Featuring Kelsea Ballerini,pop
"French Montana Featuring Post Malone, Cardi B & Rvssian",rap
Daniel Caesar Featuring Kali Uchis,r&b
Weather Factory,asmr
Kanye West Featuring Pusha T,rap
Dj Mad Dog,gabba
Kygo X Whitney Houston,pop
Flo Rida Featuring Akon,pop
John Rutter,anglican liturgy
Rod Wave & Kevin Gates,florida rap
Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,pop
Bryce Vine Featuring YG,pop
Gary Clark Jr.,blues rock
Wisin Featuring Jennifer Lopez & Ricky Martin,latin
Fergie,pop
Camellia,denpa-kei
Sahlene Williams,atmosphere
DaBaby,north carolina hip hop
Banda Sinaloense MS de Sergio Lizárraga,banda
New Life Worship,worship
Thomas Schumacher,techno
Logic & Marshmello,rap
Mon Cote Punk,french folk pop
Jeremy Warmsley,british singer-songwriter
SwuM,chillhop
Kid Ink Featuring DeJ Loaf,dance pop
Smaxone,cyber metal
Lil Tecca,rap
Travis Porter Featuring Tyga,rap
Thoushaltnot,dark cabaret
Romeo Santos Featuring Nicky Jam & Daddy Yankee,bachata
Disgrace,grim death metal
Jake Owen,country
will.i.am Featuring Mick Jagger & Jennifer Lopez,pop
Rihanna Featuring Jay-Z,pop
Major Lazer Featuring Ellie Goulding & Tarrus Riley,pop
Jenni Rivera,banda
DJ Rashad,footwork
Brian Eno,ambient
Roscoe Dash Featuring Soulja Boy Tell'em,atl hip hop
2 Chainz Featuring Pharrell,atl hip hop
Lil Nas X Featuring Billy Ray Cyrus,lgbtq+ hip hop
Lil Baby Featuring Future,atl hip hop
Nicki Minaj Featuring Lil Wayne,pop
Keri Hilson,pop
Nine Eleven,french hardcore
Post Malone Featuring G-Eazy & YG,rap
Ron Sexsmith,canadian indie
P!nk Featuring Nate Ruess,pop
Samples,glitch hop
YG,rap
Mystic Prophecy,metal
McCafferty,alternative emo
Roger Bäck,danspunk
Luis Fonsi & Demi Lovato,latin
Stefanie Bennett,freestyle
Post Malone,rap
Doro,metal
Tim McGraw Featuring Faith Hill,country
AJJ,acoustic punk
Stutterfly,canadian post-hardcore
Riley Pearce,australian singer-songwriter
Melvin Taylor,blues
Giacinto Scelsi,avant-garde
Damma Beatz,chill beats
Major Lazer Featuring Nyla & Fuse ODG,pop
Valance Drakes,abstract idm
Calvin Harris & Sam Smith,pop
New Years Day,candy pop
Kimaera,atmospheric doom
Lil Skies Featuring Yung Pinch,rap
Efence,chillsynth
Nightstop,cyberpunk
"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",pop
Hollyridge Strings,easy listening
Jackal,bass trap
"2 Chainz, Drake & Quavo",atl hip hop
Inon Zur,soundtrack
J. Dash,pop rap
Mordkey,future house
Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,r&b
Chris Brown Featuring Nicki Minaj,pop
Fabulae Dramatis,avant-garde metal
Nolwenn Leroy,chanson
Goatwhore,brutal death metal
Toehider,australian metal
Gerardo Ortiz,banda
Lingua Nada,5th wave emo
Ke$ha Featuring 3OH!3,pop
Little Mix,pop
Tyga & Nicki Minaj,dance pop
Lightning Bolt,experimental
Alec Benjamin + Alessia Cara,alt z
A Boogie Wit da Hoodie Featuring 6ix9ine,rap
Miguel Featuring J. Cole,pop
Afrojack Featuring Eva Simons,big room
Sterling Void,chicago house
Florence + The Machine,pop
J. Cole Featuring Miguel,conscious hip hop
Slowpop,
John Cage,classical
Alice Coltrane,jazz
GOBLIN KING,"""death n roll"""
Offset & Metro Boomin,atl hip hop
Nick Jonas,pop
Tame Impala,australian psych
The Wanted,pop
Dan + Shay & Justin Bieber,country
Pavvan,desi pop
West Norwood Cassette Library,float house
Trampa,dubstep
Jason Aldean With Luke Bryan & Eric Church,country
The Queers,punk
Moneybagg Yo X Megan Thee Stallon,hip hop
Luke Combs,country
Blood Region,finnish heavy metal
Graveland,black metal
Craig Campbell,country
Madonna Featuring Nicki Minaj & M.I.A.,pop
Dwarves,punk
Kygo Featuring Conrad,pop
Missy Elliott Featuring Lamb,pop
dj funk,chicago house
"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",pop
Kungs vs Cookin' On 3 Burners,edm
A Boogie Wit da Hoodie Featuring Kodak Black,rap
Enrique Iglesias Featuring Pitbull,pop
Adam Levine & Javier Colon,deep talent show
Bethel Music,worship
Swingrowers,electro swing
Stelvio Cipriani,classic soundtrack
Liquid Stranger,brostep
GONZO,melbourne indie
Marc E. Bassy Featuring G-Eazy,pop
Wale Featuring Miguel,rap
Blueface & Rich The Kid,cali rap
Should,dream pop
DJ Nate,
Charles Lloyd,jazz
Miley Cyrus,pop
Justin Timberlake Featuring JAY Z,pop
David Guetta Featuring Flo Rida & Nicki Minaj,pop
ConsciousThoughts,future funk
David Guetta Featuring Taio Cruz & Ludacris,pop
Left Boy,austrian pop
Ace Hood,rap
Famous Dex Featuring A$AP Rocky,rap
Miranda Lambert,country
Angus Black,finnish doom metal
Nicki Minaj Featuring Drake,pop
New Boyz Featuring Iyaz,dance pop
Saweetie,pop
Major Lazer & DJ Snake Featuring MO,pop
Grouper,ambient
Mary J. Blige,dance pop
Elle King,modern blues rock
Jessie Ware,pop
The Weeknd & Kendrick Lamar,canadian contemporary r&b
Juicy J Featuring Lil Wayne & 2 Chainz,rap
Sandy Rivera,house
Jacob Sartorius,social media pop
The Books,art pop
Attila Fias,christmas instrumental
Oppenheimer Analysis,grave wave
Bag Raiders,alternative dance
Lock Up,birmingham metal
Nguyên Lê,french jazz
Bobby Hutcherson,jazz
Fifth Harmony Featuring Ty Dolla $ign,pop
Maroon 5 Featuring SZA,pop
Flo Rida Featuring Robin Thicke & Verdine White,pop
Thom Yorke,art pop
Big & Rich,country
COOLRUNNINGS,indie dream pop
Moksi,bass house
Craig Morgan,country
SadDoLLs,greek metal
Tim McGraw With Catherine Dunn,country
Powerslut,boston indie
Maribou State,electronica
Chris Brown Featuring Aaliyah,pop
Paramore,candy pop
Megan Thee Stallion,pop
21 Savage & Metro Boomin Featuring Future,atl hip hop
"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",pop
John Legend Featuring Ludacris,neo soul
NF,rap
Sepultura,metal
Breathe Carolina,electropowerpop
fantompower,chillhop
Yo Gotti Featuring Lil Baby,rap
Vantage,future funk
Gucci Mane Featuring Usher,rap
"Major Lazer Featuring Bruno Mars, Tyga & Mystic",pop
matchbox twenty,neo mellow
Lupe Fiasco Featuring Ed Sheeran,rap
Sid Sriram,filmi
Battlerage,chilean metal
Lil Baby Featuring Gunna & Lil Uzi Vert,atl hip hop
Kerion,french metal
Ed Sheeran & Travis Scott,pop
Bill Evans,jazz
